date,state,level,event_type,description,outcome,source
2024-11-05,Maryland,state,ballot,Question 1 — constitutional right to reproductive freedom,PASSED,Ballotpedia
2024-11-05,Missouri,state,ballot,Amendment 3 — constitutional right to abortion (first in a 6-week ban state),PASSED,Ballotpedia
2024-11-05,Montana,state,ballot,Right to Abortion Initiative — explicit constitutional right,PASSED,Ballotpedia
2024-11-05,Nebraska,state,ballot,Initiative 434 — prohibit abortion after first trimester,PASSED,Ballotpedia
2024-11-05,Nebraska,state,ballot,Initiative 439 — constitutional right to abortion,FAILED,Ballotpedia
2024-11-05,Nevada,state,ballot,Question 6 — constitutional right to abortion,PASSED,Ballotpedia
2024-11-05,New York,state,ballot,Proposal 1 — equal protection amendment (includes pregnancy outcomes and reproductive autonomy),PASSED,Ballotpedia
2024-11-05,South Dakota,state,ballot,Constitutional Amendment G — right to abortion using trimester framework,FAILED,Ballotpedia
2024-11-21,North Dakota,state,litigation,ND Supreme Court upholds SB 2150 (near-total ban) — 2-of-5 found constitutional (needed 4 to overturn),Upheld — in effect,Ballotpedia
2025-03-05,Arizona,state,litigation,Maricopa County judge rules 15-week ban (enacted 2022) unconstitutional,Struck down,Ballotpedia
2026-01-06,Wyoming,state,litigation,Wyoming Supreme Court 4-1 strikes down HB 152 and SF 109 (2023 restrictions + abortion pill ban) as violating state constitution,Struck down,Ballotpedia
2026-03-09,Wyoming,state,legislation,Gov. Gordon signs HB 126 — Human Heartbeat Act (6-week ban),Signed — challenged same day,Ballotpedia
2026-03-10,Wyoming,state,litigation,Lawsuit filed challenging HB 126 constitutionality,Pending,Ballotpedia
2026-04-20,Pennsylvania,state,litigation,PA Commonwealth Court 4-3 — abortion funding ban unconstitutional (sex discrimination),Struck down — appealed May 19 to PA Supreme Court,Ballotpedia
2025-01-20,Federal,federal,executive,Trump reinstates Mexico City Policy (Global Gag Rule) — bars U.S. funding to foreign NGOs that provide or promote abortion,Enacted,Federal Register (Presidential Memorandum Jan 20 2025); ACLU Trump on Abortion tracker
2025-01-24,Federal,federal,executive,Trump signs EO 14182 — Enforcing the Hyde Amendment; revokes Biden EOs 14076 and 14079 that had expanded reproductive healthcare access post-Dobbs,Enacted,White House presidential-actions/2025/01/enforcing-the-hyde-amendment; ACLU Trump on Abortion tracker
2025-01-29,Federal,federal,executive,Pentagon (DoD) rescinds travel reimbursement policy for service members and dependents seeking abortion care; inadvertently also removes fertility treatment coverage,Enacted — fertility provision partially reversed Feb 2025,Stars and Stripes Jan 31 2025 (stripes.com/theaters/us/2025-01-31/defense-department-travel-policy-abortions-16672597.html); ACLU Trump on Abortion tracker
2025-03-01,Federal,federal,executive,DOJ drops United States v. Idaho — Biden-era EMTALA lawsuit requiring emergency abortion access in states with abortion bans,Dismissed,ACLU Trump on Abortion tracker
2025-03-31,Federal,federal,executive,Trump administration freezes Title X family planning funding to 16 grantees including all 9 Planned Parenthood affiliates — affects 879 clinics in 23 states,Enacted,ACLU Trump on Abortion tracker; KFF Title X Grantees tracker
2025-05-01,Federal,federal,executive,HHS Secretary RFK Jr. announces FDA review of mifepristone safety regulations — could restrict mail-order access or require in-person prescriptions,Under review,ACLU Trump on Abortion tracker
2025-06-03,Federal,federal,executive,Trump administration rescinds Biden-era EMTALA guidance requiring hospitals to provide emergency abortions in states with bans; CMS says will still enforce EMTALA broadly,Enacted,ACLU Trump on Abortion tracker
2026-05-01,Federal,federal,litigation,5th Circuit rules mifepristone must be dispensed in-person only — blocks FDA telehealth/mail prescribing rules,Blocked mail access — immediately challenged,NPR May 1 2026; CNN May 1 2026
2026-05-04,Federal,federal,scotus,Justice Alito issues emergency 1-week stay of 5th Circuit mifepristone ruling,Mail access temporarily preserved,NPR May 4 2026; CNN May 4 2026
2026-05-14,Federal,federal,scotus,Supreme Court rules mifepristone can continue to be prescribed via telehealth and mailed — stays 5th Circuit ruling while Louisiana v. FDA proceeds,Mail/telehealth access preserved pending litigation,NPR May 14 2026; CNN May 14 2026
2020-08-14,Nebraska,state,legislation,Gov. Ricketts signs LB 814 — requires prescribing physician to be physically present when patient takes first dose of abortion medication (pre-window; included for context),Enacted,User-provided state telehealth ban research
2021-12-01,South Dakota,state,executive,Gov. Noem issues executive order restricting telehealth abortion prescribing and mailing of abortion pills,Issued via executive order,User-provided state telehealth ban research
2022-01-01,South Dakota,state,legislation,South Dakota codifies 2021 executive order into law — felony to operate a telehealth abortion network or mail/distribute abortion pills within the state,Enacted,User-provided state telehealth ban research
2023-04-13,Florida,state,legislation,SB 300 (Heartbeat Protection Act) explicitly bans telehealth prescribing of medication abortion and prohibits mailing the pills,Signed — contingent on 15-week ban being upheld,User-provided state telehealth ban research
2023-05-16,North Carolina,state,legislation,SB 20 requires abortion pills be dispensed in person by a physician — effectively bans telehealth delivery,Enacted via veto override (took effect Jul 1 2023),User-provided state telehealth ban research
2023-05-25,South Carolina,state,legislation,Fetal Heartbeat and Protection from Abortion Act bans providers from using telemedicine to prescribe or dispense abortion-inducing drugs,Enacted,User-provided state telehealth ban research
2023-03-15,Utah,state,legislation,Utah law requires all abortion medications be dispensed in person by a licensed physician — eliminates telehealth/virtual clinic option,Enacted,User-provided state telehealth ban research
2024-06-04,Louisiana,state,legislation,Act 246 classifies mifepristone and misoprostol as Schedule IV Controlled Dangerous Substances — first state to do so,Signed — took effect Oct 1 2024,User-provided state telehealth ban research
2025-09-01,Texas,state,legislation,House Bill 7 signed — allows civil suits ($100k+ minimum damages) against out-of-state manufacturers/distributors/anyone mailing abortion pills to a Texas resident,Signed,User-provided state telehealth ban research
